id,url,index,confidence,xmin,ymin,xmax,ymax,w,h,ponies,artists
1000976.png,https://derpicdn.net/img/view/2015/10/13/1000976.png,0,0.9811215996742249,58,317,736,995,678,678,princess luna|twilight sparkle,dragonfoorm|dfectivedvice
1002217.png,https://derpicdn.net/img/view/2015/10/14/1002217.png,1,0.990380585193634,499,713,791,1005,292,292,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,king-kakapo
1002217.png,https://derpicdn.net/img/view/2015/10/14/1002217.png,2,0.9828868508338928,99,1,359,261,260,260,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,king-kakapo
1002217.png,https://derpicdn.net/img/view/2015/10/14/1002217.png,1,0.990380585193634,512,725,778,991,266,266,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,king-kakapo
1002217.png,https://derpicdn.net/img/view/2015/10/14/1002217.png,2,0.9828868508338928,110,13,346,249,236,236,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,king-kakapo
1003914.png,https://derpicdn.net/img/view/2015/10/17/1003914.png,0,0.9877034425735474,782,91,1232,541,450,450,spike|twilight sparkle,the smiling pony|marauder6272|advanceddefense
1003914.png,https://derpicdn.net/img/view/2015/10/17/1003914.png,0,0.9877034425735474,803,113,1213,523,410,410,spike|twilight sparkle,the smiling pony|marauder6272|advanceddefense
1003949.png,https://derpicdn.net/img/view/2015/10/17/1003949.png,0,0.968944251537323,1045,423,1375,753,330,330,applejack|fluttershy|mane six|pinkie pie|princess cadance|princess celestia|princess luna|rainbow dash|rarity|spike|twilight sparkle,kolshica
1003949.png,https://derpicdn.net/img/view/2015/10/17/1003949.png,0,0.968944251537323,1060,438,1360,738,300,300,applejack|fluttershy|mane six|pinkie pie|princess cadance|princess celestia|princess luna|rainbow dash|rarity|spike|twilight sparkle,kolshica
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,1,0.9907366037368774,2374,0,2980,443,606,443,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,2,0.9906566143035888,501,0,757,237,256,237,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,4,0.974445104598999,275,612,571,908,296,296,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,5,0.9473939538002014,683,575,963,855,280,280,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,6,0.9231377243995668,2408,685,2698,975,290,290,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,1,0.9907366037368774,2402,0,2952,415,550,415,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,2,0.9906566143035888,512,0,746,222,234,222,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,4,0.974445104598999,290,626,560,896,270,270,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,5,0.9473939538002014,695,587,953,845,258,258,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1004272.png,https://derpicdn.net/img/view/2015/10/17/1004272.png,6,0.9231377243995668,2421,698,2685,962,264,264,applejack|braeburn|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,dvixie
1005464.png,https://derpicdn.net/img/view/2015/10/18/1005464.png,0,0.992799699306488,12,101,782,871,770,770,sunset shimmer|twilight sparkle,luminousdazzle
1005464.png,https://derpicdn.net/img/view/2015/10/18/1005464.png,1,0.9870864748954772,588,0,1600,965,1012,965,sunset shimmer|twilight sparkle,luminousdazzle
1005464.png,https://derpicdn.net/img/view/2015/10/18/1005464.png,0,0.992799699306488,46,136,746,836,700,700,sunset shimmer|twilight sparkle,luminousdazzle
1005464.png,https://derpicdn.net/img/view/2015/10/18/1005464.png,1,0.9870864748954772,637,0,1600,925,963,925,sunset shimmer|twilight sparkle,luminousdazzle
1005498.png,https://derpicdn.net/img/view/2015/10/19/1005498.png,0,0.9347612857818604,47,55,867,875,820,820,princess celestia|twilight sparkle,akeahi
1005498.png,https://derpicdn.net/img/view/2015/10/19/1005498.png,0,0.9347612857818604,85,93,829,837,744,744,princess celestia|twilight sparkle,akeahi
1006293.png,https://derpicdn.net/img/view/2015/10/20/1006293.png,0,0.9857398867607116,2131,278,2995,1142,864,864,princess cadance|princess celestia|queen chrysalis|shining armor|twilight sparkle,ncmares
1006293.png,https://derpicdn.net/img/view/2015/10/20/1006293.png,0,0.9857398867607116,2171,318,2955,1102,784,784,princess cadance|princess celestia|queen chrysalis|shining armor|twilight sparkle,ncmares
1008383.png,https://derpicdn.net/img/view/2015/10/24/1008383.png,0,0.9947852492332458,186,179,364,357,178,178,applejack|twilight sparkle,jowybean
1008383.png,https://derpicdn.net/img/view/2015/10/24/1008383.png,1,0.9154781699180604,308,307,518,517,210,210,applejack|twilight sparkle,jowybean
1008383.png,https://derpicdn.net/img/view/2015/10/24/1008383.png,0,0.9947852492332458,195,188,355,348,160,160,applejack|twilight sparkle,jowybean
1008383.png,https://derpicdn.net/img/view/2015/10/24/1008383.png,1,0.9154781699180604,318,317,508,507,190,190,applejack|twilight sparkle,jowybean
1009386.jpg,https://derpicdn.net/img/view/2015/10/25/1009386.jpg,1,0.9862099885940552,250,0,1510,1116,1260,1116,rarity|twilight sparkle,bluecoffeedog
1009386.jpg,https://derpicdn.net/img/view/2015/10/25/1009386.jpg,1,0.9862099885940552,309,0,1451,1058,1142,1058,rarity|twilight sparkle,bluecoffeedog
1010384.png,https://derpicdn.net/img/view/2015/10/26/1010384.png,0,0.9695901274681092,285,0,927,528,642,528,rainbow dash|twilight sparkle,ramiras
1010384.png,https://derpicdn.net/img/view/2015/10/26/1010384.png,0,0.9695901274681092,313,0,899,499,586,499,rainbow dash|twilight sparkle,ramiras
1012540.png,https://derpicdn.net/img/view/2015/10/30/1012540.png,0,0.9988710284233092,222,316,426,520,204,204,applejack|twilight sparkle,jowybean
1012540.png,https://derpicdn.net/img/view/2015/10/30/1012540.png,0,0.9988710284233092,231,324,417,510,186,186,applejack|twilight sparkle,jowybean
1013084.png,https://derpicdn.net/img/view/2015/10/31/1013084.png,0,0.9851281642913818,327,385,707,765,380,380,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,php104
1013084.png,https://derpicdn.net/img/view/2015/10/31/1013084.png,1,0.9661158919334412,573,401,937,765,364,364,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,php104
1013084.png,https://derpicdn.net/img/view/2015/10/31/1013084.png,2,0.9096576571464542,841,387,1205,751,364,364,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,php104
1013084.png,https://derpicdn.net/img/view/2015/10/31/1013084.png,0,0.9851281642913818,345,402,691,748,346,346,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,php104
1013084.png,https://derpicdn.net/img/view/2015/10/31/1013084.png,1,0.9661158919334412,588,417,918,747,330,330,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,php104
1013084.png,https://derpicdn.net/img/view/2015/10/31/1013084.png,2,0.9096576571464542,858,404,1188,734,330,330,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,php104
1013342.jpg,https://derpicdn.net/img/view/2015/10/31/1013342.jpg,2,0.9459213614463806,136,328,318,510,182,182,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,notatoron
1013342.jpg,https://derpicdn.net/img/view/2015/10/31/1013342.jpg,2,0.9459213614463806,143,336,311,504,168,168,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,notatoron
1014981.png,https://derpicdn.net/img/view/2015/11/2/1014981.png,0,0.930611252784729,0,180,2184,2250,2184,2070,applejack|twilight sparkle,pirill|discorded
1014981.png,https://derpicdn.net/img/view/2015/11/2/1014981.png,0,0.930611252784729,0,234,2082,2250,2082,2016,applejack|twilight sparkle,pirill|discorded
1015347.png,https://derpicdn.net/img/view/2015/11/3/1015347.png,0,0.9765625596046448,57,0,437,360,380,360,shining armor|twilight sparkle,dm29
1015347.png,https://derpicdn.net/img/view/2015/11/3/1015347.png,0,0.9765625596046448,74,0,418,342,344,342,shining armor|twilight sparkle,dm29
1016179.jpg,https://derpicdn.net/img/view/2015/11/4/1016179.jpg,0,0.9858738780021667,523,516,1203,1196,680,680,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,redanon
1016179.jpg,https://derpicdn.net/img/view/2015/11/4/1016179.jpg,0,0.9858738780021667,556,547,1174,1165,618,618,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,redanon
1016972.png,https://derpicdn.net/img/view/2015/11/6/1016972.png,2,0.9279210567474364,1064,0,1732,629,668,629,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|twilight sparkle,atryl edits
1016972.png,https://derpicdn.net/img/view/2015/11/6/1016972.png,2,0.9279210567474364,1093,0,1701,599,608,599,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|twilight sparkle,atryl edits
1018057.png,https://derpicdn.net/img/view/2015/11/7/1018057.png,0,0.971329927444458,896,0,1672,729,776,729,sunset shimmer|twilight sparkle,lightof-dawn
1018057.png,https://derpicdn.net/img/view/2015/11/7/1018057.png,1,0.9360533356666564,311,92,1141,922,830,830,sunset shimmer|twilight sparkle,lightof-dawn
1018057.png,https://derpicdn.net/img/view/2015/11/7/1018057.png,0,0.971329927444458,929,0,1637,695,708,695,sunset shimmer|twilight sparkle,lightof-dawn
1018057.png,https://derpicdn.net/img/view/2015/11/7/1018057.png,1,0.9360533356666564,349,131,1101,883,752,752,sunset shimmer|twilight sparkle,lightof-dawn
1018122.png,https://derpicdn.net/img/view/2015/11/7/1018122.png,0,0.9565707445144652,44,0,854,795,810,795,applejack|discord|fluttershy|pinkie pie|rainbow dash|rarity|spike|twilight sparkle,mysticalpha
1018122.png,https://derpicdn.net/img/view/2015/11/7/1018122.png,0,0.9565707445144652,80,21,818,759,738,738,applejack|discord|fluttershy|pinkie pie|rainbow dash|rarity|spike|twilight sparkle,mysticalpha
1020466.png,https://derpicdn.net/img/view/2015/11/10/1020466.png,0,0.98139625787735,5,0,1119,910,1114,910,discord|twilight sparkle,tsitra360
1020466.png,https://derpicdn.net/img/view/2015/11/10/1020466.png,0,0.98139625787735,54,0,1068,842,1014,842,discord|twilight sparkle,tsitra360
1020480.jpg,https://derpicdn.net/img/view/2015/11/10/1020480.jpg,0,0.9776073098182678,310,329,626,645,316,316,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|shining armor|twilight sparkle,amida murasaki
1020480.jpg,https://derpicdn.net/img/view/2015/11/10/1020480.jpg,1,0.9749186635017396,13,582,193,754,180,172,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|shining armor|twilight sparkle,amida murasaki
1020480.jpg,https://derpicdn.net/img/view/2015/11/10/1020480.jpg,3,0.9506309032440186,104,411,374,681,270,270,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|shining armor|twilight sparkle,amida murasaki
1020480.jpg,https://derpicdn.net/img/view/2015/11/10/1020480.jpg,0,0.9776073098182678,324,343,612,631,288,288,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|shining armor|twilight sparkle,amida murasaki
1020480.jpg,https://derpicdn.net/img/view/2015/11/10/1020480.jpg,1,0.9749186635017396,21,589,187,754,166,165,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|shining armor|twilight sparkle,amida murasaki
1020480.jpg,https://derpicdn.net/img/view/2015/11/10/1020480.jpg,3,0.9506309032440186,117,424,361,668,244,244,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|shining armor|twilight sparkle,amida murasaki
1021183.png,https://derpicdn.net/img/view/2015/11/11/1021183.png,0,0.989602267742157,5906,340,7000,1526,1094,1186,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|sunset shimmer|twilight sparkle,silbersternenlicht
1021183.png,https://derpicdn.net/img/view/2015/11/11/1021183.png,1,0.988290011882782,651,0,1697,990,1046,990,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|sunset shimmer|twilight sparkle,silbersternenlicht
1021183.png,https://derpicdn.net/img/view/2015/11/11/1021183.png,0,0.989602267742157,5960,392,7000,1470,1040,1078,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|sunset shimmer|twilight sparkle,silbersternenlicht
1021183.png,https://derpicdn.net/img/view/2015/11/11/1021183.png,1,0.988290011882782,697,0,1649,942,952,942,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|sunset shimmer|twilight sparkle,silbersternenlicht
1022046.png,https://derpicdn.net/img/view/2015/11/13/1022046.png,0,0.9441062808036804,665,40,1047,422,382,382,applejack|twilight sparkle,jowybean
1022046.png,https://derpicdn.net/img/view/2015/11/13/1022046.png,0,0.9441062808036804,683,57,1031,405,348,348,applejack|twilight sparkle,jowybean
1022766.png,https://derpicdn.net/img/view/2015/11/14/1022766.png,0,0.989091157913208,272,0,570,297,298,297,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|twilight sparkle,dm29
1022766.png,https://derpicdn.net/img/view/2015/11/14/1022766.png,0,0.989091157913208,285,13,555,283,270,270,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|twilight sparkle,dm29
1023150.png,https://derpicdn.net/img/view/2015/11/15/1023150.png,0,0.9789676070213318,0,684,5311,6622,5311,5938,fluttershy|twilight sparkle,owlisun
1023150.png,https://derpicdn.net/img/view/2015/11/15/1023150.png,0,0.9789676070213318,0,948,4929,6358,4929,5410,fluttershy|twilight sparkle,owlisun
1023340.jpg,https://derpicdn.net/img/view/2015/11/15/1023340.jpg,1,0.9649992585182192,895,138,1451,694,556,556,rainbow dash|twilight sparkle,elzzombie
1023340.jpg,https://derpicdn.net/img/view/2015/11/15/1023340.jpg,1,0.9649992585182192,920,163,1426,669,506,506,rainbow dash|twilight sparkle,elzzombie
1024107.png,https://derpicdn.net/img/view/2015/11/16/1024107.png,0,0.9990276098251344,214,233,530,549,316,316,fluttershy|twilight sparkle,lumineko
1024107.png,https://derpicdn.net/img/view/2015/11/16/1024107.png,0,0.9990276098251344,228,247,516,535,288,288,fluttershy|twilight sparkle,lumineko
102484.png,https://derpicdn.net/img/view/2012/9/20/102484.png,0,0.9922314286231996,140,141,584,585,444,444,trixie|twilight sparkle,atryl
102484.png,https://derpicdn.net/img/view/2012/9/20/102484.png,0,0.9922314286231996,160,162,564,566,404,404,trixie|twilight sparkle,atryl
1025133.png,https://derpicdn.net/img/view/2015/11/18/1025133.png,0,0.9938400983810424,865,0,1589,691,724,691,rainbow dash|twilight sparkle,mykegreywolf
1025133.png,https://derpicdn.net/img/view/2015/11/18/1025133.png,1,0.9923534393310548,277,32,1055,810,778,778,rainbow dash|twilight sparkle,mykegreywolf
1025133.png,https://derpicdn.net/img/view/2015/11/18/1025133.png,0,0.9938400983810424,879,0,1573,677,694,677,rainbow dash|twilight sparkle,mykegreywolf
1025133.png,https://derpicdn.net/img/view/2015/11/18/1025133.png,1,0.9923534393310548,313,67,1021,775,708,708,rainbow dash|twilight sparkle,mykegreywolf
1026384.png,https://derpicdn.net/img/view/2015/11/20/1026384.png,0,0.931227684020996,340,0,821,487,481,487,applejack|twilight sparkle,jowybean
1026384.png,https://derpicdn.net/img/view/2015/11/20/1026384.png,0,0.931227684020996,363,0,821,475,458,475,applejack|twilight sparkle,jowybean
1026634.png,https://derpicdn.net/img/view/2015/11/20/1026634.png,0,0.9989601373672484,1663,558,2305,1200,642,642,princess cadance|princess celestia|princess luna|twilight sparkle,mysticalpha
1026634.png,https://derpicdn.net/img/view/2015/11/20/1026634.png,0,0.9989601373672484,1694,586,2278,1170,584,584,princess cadance|princess celestia|princess luna|twilight sparkle,mysticalpha
1026914.jpg,https://derpicdn.net/img/view/2015/11/21/1026914.jpg,0,0.987446129322052,436,59,956,579,520,520,princess luna|twilight sparkle,foxi-5
1026914.jpg,https://derpicdn.net/img/view/2015/11/21/1026914.jpg,0,0.987446129322052,459,82,933,556,474,474,princess luna|twilight sparkle,foxi-5
1027914.png,https://derpicdn.net/img/view/2015/11/22/1027914.png,0,0.9667657017707824,83,449,1395,1761,1312,1312,princess cadance|twilight sparkle,dilarus
1027914.png,https://derpicdn.net/img/view/2015/11/22/1027914.png,0,0.9667657017707824,143,509,1335,1701,1192,1192,princess cadance|twilight sparkle,dilarus
1030029.png,https://derpicdn.net/img/view/2015/11/25/1030029.png,0,0.9860489964485168,368,485,636,753,268,268,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,bluesidearts
1030029.png,https://derpicdn.net/img/view/2015/11/25/1030029.png,2,0.9498114585876464,691,485,973,767,282,282,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,bluesidearts
1030540.png,https://derpicdn.net/img/view/2015/11/26/1030540.png,1,0.9443086981773376,162,280,488,606,326,326,fluttershy|princess cadance|princess celestia|princess luna|rainbow dash|shining armor|spike|twilight sparkle,dm29
1030928.png,https://derpicdn.net/img/view/2015/11/27/1030928.png,0,0.9336504936218262,501,0,1805,1065,1304,1065,princess celestia|twilight sparkle,kinkypinkie
1031124.png,https://derpicdn.net/img/view/2015/11/27/1031124.png,0,0.9911084175109864,261,132,533,404,272,272,applejack|starlight glimmer|twilight sparkle,jowybean
1031518.png,https://derpicdn.net/img/view/2015/11/28/1031518.png,0,0.999630093574524,760,54,1524,818,764,764,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,turrkoise
1031518.png,https://derpicdn.net/img/view/2015/11/28/1031518.png,3,0.9925156831741332,121,1250,1159,2288,1038,1038,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,turrkoise
1031518.png,https://derpicdn.net/img/view/2015/11/28/1031518.png,5,0.9735206961631776,2101,1563,3113,2575,1012,1012,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,turrkoise
1031518.png,https://derpicdn.net/img/view/2015/11/28/1031518.png,6,0.9720327258110046,0,179,876,1173,876,994,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,turrkoise
1031518.png,https://derpicdn.net/img/view/2015/11/28/1031518.png,7,0.9606656432151794,871,3191,1813,4133,942,942,applejack|discord|fluttershy|mane six|pinkie pie|rainbow dash|rarity|soarin'|spike|twilight sparkle,turrkoise
1031788.png,https://derpicdn.net/img/view/2015/11/28/1031788.png,0,0.9939180612564088,1676,419,2292,1035,616,616,princess cadance|princess celestia|princess luna|twilight sparkle,mysticalpha
1031931.png,https://derpicdn.net/img/view/2015/11/28/1031931.png,0,0.9887791275978088,157,33,413,289,256,256,starlight glimmer|trixie|twilight sparkle,pixelkitties
1031931.png,https://derpicdn.net/img/view/2015/11/28/1031931.png,1,0.9695326089859008,358,608,640,890,282,282,starlight glimmer|trixie|twilight sparkle,pixelkitties
1031943.png,https://derpicdn.net/img/view/2015/11/28/1031943.png,2,0.9036421775817872,866,248,1090,472,224,224,apple bloom|applejack|big macintosh|cutie mark crusaders|diamond tiara|fluttershy|granny smith|mane six|pinkie pie|rainbow dash|rarity|scootaloo|silver spoon|spike|starlight glimmer|sweetie belle|twilight sparkle,
1033113.png,https://derpicdn.net/img/view/2015/11/29/1033113.png,0,0.9977091550827026,400,0,1024,673,624,673,starlight glimmer|twilight sparkle,ushiro no kukan
1033216.png,https://derpicdn.net/img/view/2015/11/29/1033216.png,0,0.9714096784591676,175,588,447,860,272,272,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|starlight glimmer|twilight sparkle,
1033471.png,https://derpicdn.net/img/view/2015/11/30/1033471.png,1,0.9221853613853456,241,144,699,602,458,458,spike|starlight glimmer|twilight sparkle,jowybean
1034476.png,https://derpicdn.net/img/view/2015/12/1/1034476.png,0,0.969519317150116,596,235,1024,713,428,478,starlight glimmer|twilight sparkle,vanillafox2035
1037331.png,https://derpicdn.net/img/view/2015/12/5/1037331.png,0,0.9308909177780152,109,0,1211,1026,1102,1026,rainbow dash|starlight glimmer|twilight sparkle,fromamida
1038856.png,https://derpicdn.net/img/view/2015/12/7/1038856.png,0,0.994076669216156,559,0,1455,872,896,872,spike|twilight sparkle,bylisboa
1039453.png,https://derpicdn.net/img/view/2015/12/8/1039453.png,0,0.9848734140396118,2477,3799,3143,4465,666,666,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|starlight glimmer|twilight sparkle,cheezedoodle96|kevinerino|blackgryph0n|noxwyll|kysss90|slim-shady|chainchomp2 edit
1039453.png,https://derpicdn.net/img/view/2015/12/8/1039453.png,3,0.9035608172416688,807,883,1083,1159,276,276,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|spike|starlight glimmer|twilight sparkle,cheezedoodle96|kevinerino|blackgryph0n|noxwyll|kysss90|slim-shady|chainchomp2 edit
1039729.png,https://derpicdn.net/img/view/2015/12/8/1039729.png,0,0.9989782571792604,184,0,460,210,276,210,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,seyrii
1039729.png,https://derpicdn.net/img/view/2015/12/8/1039729.png,3,0.9026761054992676,628,0,896,225,268,225,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,seyrii
1040362.jpg,https://derpicdn.net/img/view/2015/12/9/1040362.jpg,0,0.9286738038063048,0,0,544,556,544,556,princess cadance|twilight sparkle,ciciya
1040636.jpg,https://derpicdn.net/img/view/2015/12/9/1040636.jpg,0,0.9665043354034424,525,33,1201,709,676,676,rainbow dash|twilight sparkle,lightof-dawn
1041168.jpg,https://derpicdn.net/img/view/2015/12/10/1041168.jpg,0,0.9811400771141052,351,652,741,1042,390,390,applejack|fluttershy|mane six|pinkie pie|princess celestia|princess luna|rainbow dash|rarity|twilight sparkle,sweetsound
1041554.png,https://derpicdn.net/img/view/2015/12/11/1041554.png,0,0.9861283898353576,3439,455,4067,1083,628,628,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,lisa400
1041554.png,https://derpicdn.net/img/view/2015/12/11/1041554.png,1,0.93460875749588,32,216,660,844,628,628,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|twilight sparkle,lisa400
1041861.png,https://derpicdn.net/img/view/2015/12/11/1041861.png,0,0.9974297881126404,493,37,813,357,320,320,applejack|twilight sparkle,jowybean
1042580.png,https://derpicdn.net/img/view/2015/12/12/1042580.png,0,0.9908010363578796,563,370,999,806,436,436,starlight glimmer|twilight sparkle,berrypawnch
1042580.png,https://derpicdn.net/img/view/2015/12/12/1042580.png,1,0.960869073867798,299,457,669,827,370,370,starlight glimmer|twilight sparkle,berrypawnch
10438.jpg,https://derpicdn.net/img/view/2012/6/19/10438.jpg,0,0.9400397539138794,902,228,1604,930,702,702,rainbow dash|twilight sparkle,ss2sonic
1043890.png,https://derpicdn.net/img/view/2015/12/13/1043890.png,0,0.949779748916626,117,0,461,333,344,333,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|starlight glimmer|twilight sparkle,jirousan
1043890.png,https://derpicdn.net/img/view/2015/12/13/1043890.png,1,0.9386869668960572,42,872,374,1204,332,332,applejack|fluttershy|mane six|pinkie pie|rainbow dash|rarity|starlight glimmer|twilight sparkle,jirousan
